,ds,y,weather_pc,weather_pc2,visibility,is_winter,is_summer,is_spring_fall
149,2021-12-13 06:00:00,39735.0,-23760.532375884035,-690.9017415195636,1330.0,1,0,0
150,2021-12-13 03:00:00,36754.0,-24521.044965768695,-779.5007771646451,570.0,1,0,0
151,2021-12-13 00:00:00,36911.0,-23181.752119372748,-924.299414493069,1910.0,1,0,0
152,2021-12-12 21:00:00,36040.0,-18032.470431844897,-1074.053056217137,7060.0,1,0,0
153,2021-12-12 18:00:00,36509.0,6496.999603335901,-1208.7192357473687,31590.0,1,0,0
154,2021-12-12 15:00:00,32995.0,-21862.921530007636,-1097.4407678645848,3230.0,1,0,0
155,2021-12-12 12:00:00,33154.0,-7604.596832625949,-1467.5380296745298,17490.0,1,0,0
156,2021-12-12 09:00:00,33460.0,-21114.759701512583,-1456.3675206851497,3980.0,1,0,0
157,2021-12-12 06:00:00,36143.0,-24484.433184308175,-1326.707385202978,610.0,1,0,0
158,2021-12-12 03:00:00,34131.0,-24744.32938598827,-1263.108136498418,350.0,1,0,0
159,2021-12-12 00:00:00,34542.0,-23964.535026730504,-1276.1489232569,1130.0,1,0,0
160,2021-12-11 21:00:00,38553.0,-13634.755833993519,-1295.7299421941775,11460.0,1,0,0
161,2021-12-11 18:00:00,39408.0,-11624.48928282094,-1189.911940696034,13470.0,1,0,0
162,2021-12-11 15:00:00,35998.0,-5124.107242196154,-1061.7051379867617,19970.0,1,0,0
163,2021-12-11 12:00:00,36225.0,-7154.213393206431,-1047.4597843822094,17940.0,1,0,0
164,2021-12-11 09:00:00,37108.0,-11613.869880989543,-952.121961555435,13480.0,1,0,0
165,2021-12-11 06:00:00,39026.0,-23842.80462459348,-628.3009977164369,1250.0,1,0,0
166,2021-12-11 03:00:00,36713.0,6807.484210545165,-557.4004032312641,31900.0,1,0,0
167,2021-12-11 00:00:00,36986.0,-5931.3568001491985,-303.61246559422983,19160.0,1,0,0
168,2021-12-10 21:00:00,41361.0,-5509.4124853383155,32.129595616192304,19580.0,1,0,0
169,2021-12-10 18:00:00,42653.0,7772.710974199771,372.815610567372,32860.0,1,0,0
170,2021-12-10 15:00:00,40323.0,-5304.816760503995,865.0325618727809,19780.0,1,0,0
171,2021-12-10 12:00:00,40214.0,-7453.615138185515,1089.8473913656433,17630.0,1,0,0
172,2021-12-10 09:00:00,40960.0,-5222.917393580346,1188.8544954157744,19860.0,1,0,0
173,2021-12-10 06:00:00,41958.0,-8090.515458796907,1684.0311561988444,16990.0,1,0,0
174,2021-12-10 03:00:00,39141.0,-18388.285798576042,2186.497880839414,6690.0,1,0,0
175,2021-12-10 00:00:00,39445.0,-22728.77567553711,2121.9483187294263,2350.0,1,0,0
176,2021-12-09 21:00:00,42616.0,-21991.05309324225,1694.4636375019945,3090.0,1,0,0
177,2021-12-09 18:00:00,44027.0,-5093.881645512349,1144.0934184099194,19990.0,1,0,0
