,horizon,mse,rmse,mae,mdape,smape,coverage
74,10 days 13:00:00,1494663761321.6775,1222564.4201111356,988602.857370976,2.2626957366319402,1.1465191736811093,0.7785511729827278
75,10 days 13:30:00,1492573430395.09,1221709.2249774863,988113.5035561831,2.2626957366319402,1.146380795304018,0.7785511729827275
76,10 days 14:00:00,1491116461204.7642,1221112.7962660796,987927.7721956443,2.2626957366319402,1.146318513737434,0.778551172982728
77,10 days 14:30:00,1490361008273.9666,1220803.4273682092,987721.9348598372,2.2626957366319402,1.1462613279851082,0.7782933745810774
78,10 days 15:00:00,1490384940097.4004,1220813.2289983593,987864.6853353383,2.2626957366319402,1.1462647964408557,0.7775199793761274
79,10 days 15:30:00,1490891364873.5872,1221020.6242621732,988346.4153778763,2.2626957366319402,1.146352673992992,0.7767465841711784
80,10 days 16:00:00,1491453335091.9016,1221250.7257283009,988900.5706086645,2.2626957366319402,1.146484808366143,0.7759731889662284
81,10 days 16:30:00,1491215011695.127,1221153.1483377207,989404.9289605658,2.2626957366319402,1.1466024481835992,0.7759731889662284
82,10 days 17:00:00,1490311756364.4253,1220783.2552768837,989537.9747629693,2.2626957366319402,1.1466219515563987,0.7759731889662287
83,10 days 17:30:00,1489793736011.1946,1220571.069627326,989696.6414701411,2.2626957366319402,1.1465476834236337,0.7764887857695284
84,10 days 18:00:00,1488980318404.2915,1220237.8122334562,989417.1583594009,2.2626957366319402,1.1463505171313606,0.7764887857695283
85,10 days 18:30:00,1488812132710.6113,1220168.8951578022,989270.6497106703,2.2626957366319402,1.146275199594812,0.7764887857695284
86,10 days 19:00:00,1488980651609.4214,1220237.948766314,989441.2153321818,2.2527682244682197,1.1464044076351216,0.7764887857695282
87,10 days 19:30:00,1489211563577.3591,1220332.5626964804,989590.4084350652,2.2626957366319402,1.1464307862153897,0.7764887857695283
88,10 days 20:00:00,1490200415037.3484,1220737.6520110078,990234.6141323497,2.2762329514511332,1.1470346453639444,0.7764887857695282
89,10 days 20:30:00,1490967692247.2559,1221051.8794249718,990743.7172207554,2.2762329514511332,1.1472551791737873,0.7764887857695284
90,10 days 21:00:00,1491642611565.7476,1221328.2161506577,991193.1767727276,2.2762329514511332,1.1472839243541635,0.7764887857695284
91,10 days 21:30:00,1492311753717.0405,1221602.1257827936,991631.631336158,2.2762329514511332,1.1472839487588495,0.7764887857695282
92,10 days 22:00:00,1493004969475.8792,1221885.8250572674,992070.4780706406,2.2762329514511332,1.147283955510746,0.7764887857695283
93,10 days 22:30:00,1493727980881.09,1222181.6480708136,992513.3239688914,2.2762329514511332,1.1472839555107455,0.7764887857695284
94,10 days 23:00:00,1494471131430.003,1222485.6364923078,992961.1308424961,2.2762329514511332,1.147283955510746,0.7764887857695286
95,10 days 23:30:00,1495215271165.0217,1222789.9538207785,993412.5108645674,2.2762329514511332,1.1472839555107455,0.776488785769529
